GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,OrderLineController,126,22,2,0,32,8,6,3,5,3
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,Action,169,0,2,0,34,0,9,0,8,0
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,CustomerController,129,22,2,0,35,8,6,3,5,3
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,ProductController,107,22,2,0,27,8,6,3,5,3
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,OrderController,128,22,2,0,28,8,6,3,5,3
ForenameSurname-SoftwareMarch16,com.qa.ims,Ims,493,50,61,2,127,14,42,4,7,3
ForenameSurname-SoftwareMarch16,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,OrderLineDaoMysql,276,66,1,1,60,17,8,4,7,4
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,ProductDaoMysql,99,220,1,1,26,51,4,8,3,8
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,OrderDaoMysql,221,173,0,2,55,33,5,8,5,7
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,CustomerDaoMysql,78,268,0,2,29,50,2,10,2,9
ForenameSurname-SoftwareMarch16,com.qa.ims.services,ProductServices,18,12,0,0,5,4,4,2,4,2
ForenameSurname-SoftwareMarch16,com.qa.ims.services,OrderServices,23,12,0,0,5,4,4,2,4,2
ForenameSurname-SoftwareMarch16,com.qa.ims.services,OrderLineServices,18,12,0,0,5,4,4,2,4,2
ForenameSurname-SoftwareMarch16,com.qa.ims.services,CustomerServices,18,12,0,0,5,4,4,2,4,2
ForenameSurname-SoftwareMarch16,com.qa.ims.utils,Utils,3,10,0,0,1,3,1,3,1,3
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Order,21,188,3,23,8,58,4,25,1,15
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Domain,38,72,2,0,11,10,4,3,3,3
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Customer,0,328,0,54,0,90,0,46,0,19
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,OrderLine,31,320,2,46,11,84,4,40,2,18
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Product,6,219,3,29,0,61,3,27,0,14
